GR,NPHI,RHOB,DT,VCL,PHIE,FACIES_2010_New
165.3251953,0.546000004,2.381000042,120.2969971,1,0,2
171.3435059,0.541999996,2.361999989,122.0360031,1,0,2
172.2176971,0.53549999,2.35800004,123.0070038,1,0,2
173.0912933,0.528999984,2.354000092,123.9779968,1,0,2
128.5164948,0.537999988,2.352999926,125.1920013,1,0,2
129.5151978,0.456999987,2.377000094,121.3509979,1,0,2
140.1309967,0.419,2.36500001,115.6910019,1,0,2
135.4470978,0.449000001,2.398000002,111.5770035,1,0,2
145.6138001,0.440499991,2.417500019,110.1334992,1,0,2
155.782196,0.432000011,2.437000036,108.6900024,1,0,2
141.8735962,0.381000012,2.467999935,105.5009995,1,0,2
148.7946014,0.425000012,2.467999935,101.1070023,1,0,2
145.2821045,0.381999999,2.471999884,103.7900009,1,0,2
150.4989929,0.416999996,2.460999966,104.6914978,1,0,2
155.7144928,0.451999992,2.450000048,105.5930023,1,0,2
154.7929993,0.479000002,2.407999992,108.5599976,1,0,2
143.4514008,0.538999975,2.391000032,116.6389999,1,0,2
133.6461029,0.505999982,2.39199996,118.5479965,1,0,2
143.5457001,0.503000021,2.384999991,119.4319992,1,0,2
136.3097992,0.528500021,2.377000094,120.1175003,1,0,2
129.0765991,0.55400002,2.368999958,120.8030014,1,0,2
122.586998,0.515999973,2.361000061,122.4940033,1,0,2
152.3896942,0.481999993,2.362999916,119.901001,1,0,2
140.3899994,0.495000005,2.384000063,120.0439987,1,0,2
143.1692963,0.423000008,2.440999985,115.3460007,1,0,2
141.9947968,0.465999991,2.451499939,114.9645004,1,0,2
140.8204956,0.509000003,2.461999893,114.5830002,1,0,2
129.2810059,0.510999978,2.403000116,113.6060028,1,0,2
101.2018967,0.365999997,2.20600009,112.9810028,0.292499989,0.232899994,0
89.20819855,0.31099999,2.085999966,110.651001,0.158999994,0.292100012,0
93.01470184,0.326999992,2.095499992,108.3594971,0.195199996,0.281699985,0
96.82330322,0.342999995,2.105000019,106.0680008,0.236900002,0.267100006,0
105.2205963,0.351999998,2.145999908,101.7990036,0.352100015,0.226799995,0
101.0951004,0.349000007,2.38199997,97.98200226,1,0,2
94.41799927,0.257999986,2.483999968,95.36699677,1,0,2
86.05110169,0.245000005,2.394999981,94.66699982,1,0,2
86.01290131,0.289000005,2.27850008,95.10749817,0.132300004,0.2227,0
85.97470093,0.333000004,2.161999941,95.54799652,0.131999999,0.278699994,0
98.28230286,0.34799999,2.309000015,97.81500244,0.254500002,0.206,0
138.4624939,0.356999993,2.411000013,99.38600159,1,0,2
162.3551941,0.400000006,2.454999924,101.9810028,1,0,2
162.2695007,0.407999992,2.466500044,100.8974991,1,0,2
162.1833038,0.416000009,2.477999926,99.81400299,1,0,2
140.262207,0.421999991,2.450999975,99.2519989,1,0,2
135.816803,0.442999989,2.309999943,96.13999939,1.083099961,0,0
89.35430145,0.398999989,2.062999964,95.89600372,0.160300002,0.293900013,0
85.0617981,0.257999986,2.476000071,99.41500092,1,0,0
89.60269928,0.246999994,2.431999922,98.97399902,1,0,2
94.13860321,0.236000001,2.388000011,98.53299713,1,0,2
89.23349762,0.319999993,2.13199997,101.1709976,0.159199998,0.277700007,0
115.5682983,0.303000003,2.220999956,102.7340012,0.552699983,0.138699994,0
128.6448059,0.368000001,2.459000111,103.2839966,0.943400025,0,0
136.7422028,0.375999987,2.467499971,103.3779984,1.096300006,0,2
144.8395996,0.384000003,2.476000071,103.4720001,1,0,2
139.896698,0.382999986,2.47300005,101.6039963,1,0,2
158.1136017,0.437000006,2.489000082,101.3860016,1,0,2
153.938797,0.425000012,2.529999971,100.3170013,1,0,2
144.5821991,0.416999996,2.509999991,98.11000061,1,0,2
151.0323944,0.402999997,2.486999989,100.6729965,1,0,2
157.4801025,0.388999999,2.463999987,103.2360001,1,0,2
135.5368042,0.398999989,2.240999937,104.0309982,1.079100013,0,2
100.4825974,0.370000005,2.051000118,107.3089981,0.282799989,0.250999987,0
94.85050201,0.388999999,2.068000078,100.1989975,0.214599997,0.274899989,0
92.22550201,0.423999995,2.07949996,98.39099884,0.187299997,0.284399986,0
89.60040283,0.458999991,2.09100008,96.58300018,0.162499994,0.293099999,0
92.97029877,0.405999988,2.184000015,96.0759964,0.194800004,0.281800002,0
83.64099884,0.27700001,2.493000031,94.13800049,1,0,3
71.78450012,0.270000011,2.237999916,93.66200256,0.044799998,0.252200007,0
63.33929825,0.317999989,2.15899992,96.41999817,0.0108,0.307500005,0
67.03790283,0.381500006,2.151499987,96.70200348,0.0244,0.340200007,0
70.73729706,0.444999993,2.144000053,96.98400116,0.039999999,0.335999996,0
76.14109802,0.437999994,2.102999926,101.5839996,0.0669,0.326599985,0
72.24289703,0.441000015,2.104000092,108.2030029,0.046999998,0.333600014,0
68.17749786,0.384000003,2.101999998,106.935997,0.028999999,0.339899987,0
70.167099,0.354999989,2.095000029,105.2210007,0.037500002,0.335900009,0
72.25309753,0.361000001,2.097500086,105.9674988,0.046999998,0.333499998,0
74.34169769,0.367000014,2.099999905,106.7139969,0.057399999,0.329899997,0
73.8117981,0.36500001,2.107000113,105.223999,0.054699998,0.330900013,0
71.02500153,0.368999988,2.121000052,104.0899963,0.041299999,0.334800005,0
78.44110107,0.384999991,2.127000094,104.9560013,0.0801,0.321999997,0
78.76049805,0.374000013,2.116499901,104.3259964,0.082000002,0.3213,0
79.07990265,0.363000006,2.105999947,103.6959992,0.083999999,0.320600003,0
74.36229706,0.451000005,2.094000101,100.8440018,0.057500001,0.329899997,0
88.06980133,0.430999994,2.114000082,99.77799988,0.149100006,0.297800005,0
78.9509964,0.386999995,2.119999886,99.90399933,0.0832,0.320899993,0
93.58750153,0.358999997,2.142999888,100.4560013,0.201100007,0.2764,0
91.8667984,0.370499998,2.119499922,98.8144989,0.183799997,0.285699993,0
90.14649963,0.381999999,2.095999956,97.17299652,0.167500004,0.291399986,0
96.83920288,0.372000009,2.078999996,97.24199677,0.237100005,0.26699999,0
75.29499817,0.344000012,2.122999907,99.35399628,0.062399998,0.315100014,0
69.86489868,0.423999995,2.142999888,98.94000244,0.0361,0.337399989,0
74.54550171,0.384999991,2.151000023,99.93399811,0.058400001,0.329600006,0
79.2288971,0.345999986,2.15899992,100.9280014,0.084899999,0.298900008,0
80.57589722,0.381000012,2.109999895,97.17700195,0.093400002,0.317299992,0
71.34929657,0.423000008,2.082999945,99.25,0.042800002,0.335000008,0
82.18849945,0.314000011,2.33100009,96.89499664,0.104099996,0.228100002,0
82.07319641,0.230000004,2.631000042,97.77300263,1,0,2
82.62889862,0.224999994,2.621500015,97.10949707,1,0,2
83.18479919,0.219999999,2.611999989,96.44599915,1,0,2
91.30740356,0.321999997,2.342999935,99.57700348,1,0,2
95.96369934,0.367000014,2.118000031,98.01899719,0.226999998,0.270599991,0
90.46289825,0.395999998,2.111000061,93.41799927,0.170399994,0.290399998,0
90.97730255,0.380499989,2.107500076,95.2480011,0.1752,0.288700014,0
91.4917984,0.36500001,2.104000092,97.07800293,0.180099994,0.287000001,0
89.09739685,0.39199999,2.107000113,96.74500275,0.158000007,0.294699997,0
77.45529938,0.381999999,2.130000114,95.8690033,0.074299999,0.324000001,0
86.8730011,0.372999996,2.105000019,93.97100067,0.139200002,0.301299989,0
97.99009705,0.393000007,2.071000099,94.66899872,0.2509,0.262199998,0
91.86849976,0.397500008,2.078500032,95.83699799,0.183799997,0.285699993,0
85.7410965,0.40200001,2.085999966,97.00499725,0.130099997,0.304500014,0
96.65319824,0.375999987,2.112999916,97.27400208,0.234899998,0.267800003,0
93.53720093,0.36500001,2.094000101,97.9489975,0.200599998,0.279799998,0
86.65039825,0.381999999,2.148000002,96.28700256,0.137400001,0.301899999,0
83.70939636,0.351999998,2.157000065,96.64600372,0.114799999,0.29339999,0
83.48950195,0.349000007,2.178999901,96.73950195,0.113300003,0.2861,0
83.26940155,0.345999986,2.200999975,96.83300018,0.111699998,0.278800011,0
84.70050049,0.367000014,2.253999949,95.64399719,0.122199997,0.273400009,0
91.16000366,0.379000008,2.16899991,94.67099762,0.176899999,0.285100013,0
64.92990112,0.388999999,2.148000002,97.6989975,0.0164,0.344199985,1
69.64099884,0.377499998,2.144999981,97.37049866,0.0352,0.335700005,1
74.37439728,0.365999997,2.14199996,97.04199982,0.057500001,0.322499991,1
86.36239624,0.361000001,2.131000042,97.50900269,0.135000005,0.299199998,1
88.55870056,0.326999992,2.105999947,99.33399963,0.153300002,0.291200012,1
81.32240295,0.388000011,2.105999947,99.81199646,0.098300003,0.315600008,1
91.16459656,0.398999989,2.105999947,99.72499847,0.177000001,0.288100004,1
95.21379852,0.392500013,2.118499994,99.75150299,0.218600005,0.273499996,1
99.26450348,0.386000007,2.131000042,99.77799988,0.266799986,0.256599993,1
104.6257019,0.342000008,2.181999922,100.1839981,0.342700005,0.219799995,1
107.3571014,0.328999996,2.196000099,100.5289993,0.387499988,0.199000001,1
112.4209976,0.363000006,2.207999945,100.4990006,0.483500004,0.180800006,1
116.3062973,0.36500001,2.207000017,100.0910034,0.570100009,0.143900007,1
120.1938019,0.367000014,2.20600009,99.68299866,0.670099974,0.053199999,2
127.8467026,0.391000003,2.236999989,99.35800171,0.913800001,0.0003,2
133.941803,0.370000005,2.28399992,99.51699829,1.056300044,0,2
144.440094,0.386000007,2.375999928,99.29199982,1,0,2
144.233902,0.374000013,2.421000004,99.56300354,1,0,2
149.7207947,0.360000014,2.427999973,100.5025024,1,0,2
155.1911926,0.345999986,2.434999943,101.4420013,1,0,2
160.8285065,0.354000002,2.413000107,104.1330032,1,0,2
157.9730988,0.384999991,2.427999973,105.6449966,1,0,2
166.8527985,0.435000002,2.473999977,105.4459992,1,0,2
165.4394989,0.412000001,2.46449995,106.001503,1,0,2
164.026001,0.388999999,2.454999924,106.5569992,1,0,2
145.675705,0.386999995,2.390000105,106.3180008,1,0,2
137.7516022,0.351999998,2.382999897,106.4680023,1,0,2
140.952301,0.375,2.369999886,106.8099976,1,0,2
148.2969055,0.419999987,2.302999973,106.7939987,1.261399984,0,2
149.091507,0.496499986,2.34100008,107.3464966,1,0,2
149.8863983,0.573000014,2.378999949,107.8990021,1,0,2
135.8009033,0.393999994,2.351999998,106.848999,1,0,2
134.7579956,0.312999994,2.345999956,108.2460022,1,0,2
135.6844025,0.342000008,2.328999996,108.0049973,1.081200004,0,2
137.2165985,0.36649999,2.335500002,108.3744965,1,0,2
138.7492065,0.391000003,2.342000008,108.7440033,1,0,2
134.8735962,0.486999989,2.375999928,110.1979981,1,0,2
145.8690033,0.488999993,2.403000116,113.6729965,1,0,2
129.8928986,0.463,2.415999889,116.3239975,1,0,2
129.914505,0.43599999,2.407000065,114.1529999,1,0,2
125.123497,0.421000004,2.303999901,113.4649963,0.819199979,0.0038,2
120.3243027,0.405999988,2.200999975,112.7770004,0.673699975,0.0506,2
119.5108032,0.351999998,2.395999908,109.2679977,1,0,2
134.8562012,0.363999993,2.312000036,104.9189987,1.069399953,0,2
142.9273071,0.411000013,2.368999958,100.8379974,1,0,2
141.8771057,0.395999998,2.420000076,100.2779999,1,0,2
148.2180939,0.372999996,2.404999971,100.8034973,1,0,2
154.5552979,0.349999994,2.390000105,101.3290024,1,0,2
155.138794,0.384999991,2.411000013,99.93000031,1,0,2
124.1787033,0.384000003,2.378000021,100.7519989,1,0,2
158.1136017,0.409000009,2.38199997,103.0070038,1,0,2
155.3961029,0.425000012,2.40199995,104.7044983,1,0,2
152.6784973,0.441000015,2.421999931,106.4020004,1,0,2
145.2733002,0.405999988,2.410000086,108.3059998,1,0,2
123.6927033,0.418000013,2.387000084,111.5070038,1,0,2
129.1916962,0.453000009,2.349999905,115.5159988,1,0,2
132.1616974,0.463999987,2.357000113,120.2470017,1,0,2
124.5102997,0.467000008,2.364500046,121.2819977,1,0,2
116.8544998,0.469999999,2.371999979,122.3170013,1,0,2
126.6387024,0.486999989,2.371000052,112.0299988,1,0,2
144.1175995,0.519999981,2.375,114.0479965,1,0,2
134.9644928,0.456999987,2.263999939,114.4150009,0.834900022,0.0026,2
146.1363983,0.523999989,2.361000061,115.4020004,1,0,2
149.1473999,0.638999999,2.34800005,103.1480026,1,0,2
154.5702057,0.611500025,2.34100008,101.2740021,1,0,2
159.9898987,0.583999991,2.334000111,99.40000153,1,0,2
145.3601074,0.412999988,2.454999924,73.70400238,1,0,2
141.9002075,0.196999997,2.578999996,82.61399841,1,0,2
176.0843048,0.211999998,2.559000015,79.22799683,1,0,2
181.6898956,0.243499994,2.556999922,79.29000092,1.521100044,0,2
187.3014069,0.275000006,2.555000067,79.35199738,1.591300011,0,2
175.7906036,0.289000005,2.529999971,76.5059967,1.447399974,0,2
167.3955994,0.250999987,2.545000076,77.09899902,1,0,2
160.1266937,0.270000011,2.561000109,78.13800049,1.251600027,0,2
162.9779053,0.314000011,2.573999882,78.59200287,1.287199974,0,2
169.925705,0.30250001,2.579999924,77.66400147,1,0,2
176.8672943,0.291000009,2.585999966,76.73600006,1,0,2
154.6977997,0.32100001,2.596999884,79.66699982,1,0,2
181.295105,0.314999998,2.569999933,80.72399902,1,0,2
191.5164032,0.351999998,2.529000044,81.17500305,1,0,2
193.0256043,0.455000013,2.49000001,84.41500092,1,0,2
186.0075073,0.448500007,2.519999981,84.25700378,1,0,2
178.9949951,0.442000002,2.549999952,84.09899902,1,0,2
166.4365997,0.356999993,2.532999992,83.34700012,1,0,2
177.6351013,0.386999995,2.568000078,84.01399994,1,0,2
161.8170929,0.354999989,2.535000086,83.13500214,1,0,2
171.470398,0.346500009,2.48300004,83.81300354,1,0,2
181.1110992,0.338,2.430999994,84.49099731,1,0,2
160.5252991,0.30399999,2.430000067,84.20300293,1,0,2
163.6918945,0.372000009,2.39199996,86.81700134,1.29610002,0,2
144.3917999,0.344000012,2.325999975,87.63400269,1.05490005,0,2
148.5039063,0.324999988,2.351999998,88.23000336,1.106299996,0,2
145.5984955,0.335000008,2.349999905,88.13349915,1.070000053,0,2
142.6925964,0.344999999,2.34800005,88.03700256,1.033699989,0,2
137.9801941,0.349999994,2.40199995,87.94599915,1,0,2
149.6587067,0.282999992,2.296000004,87.73300171,1.120700002,0,2
128.8912964,0.250999987,2.214999914,87.10800171,0.672500014,0.0515,2
129.5283051,0.244000003,2.301500082,87.17449951,0.68809998,0.041400001,2
130.1654968,0.237000004,2.388000011,87.24099731,1,0,2
135.3493042,0.331999987,2.318000078,87.35199738,0.846300006,0.002,2
145.3816071,0.303000003,2.323999882,86.14199829,1.067299962,0,2
152.5979004,0.280999988,2.398000002,84.23000336,1.157500029,0,2
159.9609985,0.351999998,2.459000111,82.82700348,1.249500036,0,2
156.1907044,0.351000011,2.48300004,83.0644989,1,0,2
152.4120026,0.349999994,2.50699997,83.30200195,1,0,2
147.0209045,0.298999995,2.394999981,83.02100372,1,0,2
133.4528961,0.291000009,2.35800004,82.51000214,0.791499972,0.0068,0
150.758194,0.307000011,2.308000088,84.8809967,1.134500027,0,0
134.8896027,0.296000004,2.301000118,85.30049896,0.832700014,0.0028,0
119.0161972,0.284999996,2.29399991,85.72000122,0.467500001,0.146699995,0
109.0482025,0.307000011,2.270999908,86.63500214,0.316900015,0.1954,0
115.7009964,0.256000012,2.288000107,86.66799927,0.412000001,0.149599999,0
105.8961029,0.237000004,2.332000017,86.2460022,0.278499991,0.155900002,0
122.9936981,0.303000003,2.388999939,86.94400024,0.542299986,0.101300001,0
123.9803009,0.290499985,2.339999914,87.25,0.562399983,0.109800004,0
124.9662018,0.277999997,2.290999889,87.55599976,0.583199978,0.118600003,0
120.5838013,0.230000004,2.250999928,87.72499847,0.495799989,0.129999995,0
115.9511032,0.201000005,2.201999903,88.32900238,0.416000009,0.155100003,0
115.3230972,0.204999998,2.255000114,88.7480011,0.405999988,0.138799995,0
114.9862976,0.243499994,2.257999897,88.41549683,0.40079999,0.158600003,0
